02. Front Elevation,Passed,1
03. Mud Map,Needs Improvement,0
04. Video captured of scope of works/pre-start,Needs Improvement,0
05. Correct use of available technology e.g. moisture meter/thermal camera,NA,0
06. Photos clearly labelled,Passed,1
07. Appropriate number and quality of photos per affected location,Passed,1
08. Pre-existing defects and damage not related to the claimed event accurately captured and labelled,Passed,1
"11. Occupant/Insured details of event accurately captured - How, When, What",Passed,1
12. Builders Observations accurately recorded,Passed,1
13. Primary Causation accurately recorded,Passed,1
"14. Builders Conclusion - clear, concise, correct policy response, correct referral determination",Passed,1
"15. Report Details - Asbestos, Owner Maintenance and Defects, Accomodation - accurately filled out",Passed,1
16. Clear return note to Submissions team,Passed,1
"17. Assesment responds correctly to PDS requirements i.e. Open Plan areas, Matching, exploratory works",Passed,1
20. Overall measurements for each room stated/Bluetooth measure,Passed,1
"21. Scope responds correctly to PDS requirements i.e. Open Plan areas, Matching, exploratory works",NA,0
22. Custom items used only when Product Catalog items not available,Passed,1
23. Items missed within the scope,Passed,1
24. Over scoping - Items not required within scope,Needs Improvement,0
25. Room quantities adjusted to match the repair,Passed,1
26. Correct products identified as like for like,Passed,1
